package,build,benchmark,before_ns,after_ns,change_pct,before_B_op,after_B_op,before_allocs_op,after_allocs_op,samples_per_revision,before_min_ns,before_max_ns,after_min_ns,after_max_ns
xxh3,native,BenchmarkDigestLocal/64/Seed,297.25,46.38,-84.397,1536.0,0.0,1.0,0.0,6,294.5,300.3,46.35,46.42
xxh3,native,BenchmarkDigestLocal/64/Secret,282.85,35.71,-87.375,1536.0,0.0,1.0,0.0,6,279.2,285.7,35.67,35.75
xxh3,native,BenchmarkDigestLocal/256/Default,62.105,55.95,-9.911,0.0,0.0,0.0,0.0,6,62.09,62.13,55.95,55.97
xxh3,native,BenchmarkDigestLocal/256/Seed,323.65,63.895,-80.258,1536.0,0.0,1.0,0.0,6,320.7,325.0,63.88,63.92
xxh3,native,BenchmarkDigestLocal/256/Secret,314.35,53.76,-82.898,1536.0,0.0,1.0,0.0,6,312.2,315.2,53.73,53.82
xxh3,native,BenchmarkDigestLocal/1024/Default,102.1,94.93,-7.023,0.0,0.0,0.0,0.0,6,102.1,102.3,94.89,95.0
xxh3,native,BenchmarkDigestLocal/1024/Seed,342.75,103.3,-69.861,1536.0,0.0,1.0,0.0,6,339.5,346.3,103.3,103.3
xxh3,native,BenchmarkDigestLocal/1024/Secret,345.35,93.08,-73.048,1536.0,0.0,1.0,0.0,6,344.2,348.1,93.02,93.35
xxh3,native,BenchmarkDigestLocal/4096/Default,191.9,192.7,0.417,0.0,0.0,0.0,0.0,6,191.8,191.9,192.6,192.8
xxh3,native,BenchmarkDigestLocal/4096/Seed,466.0,200.65,-56.942,1536.0,0.0,1.0,0.0,6,462.5,468.3,200.5,200.9
xxh3,native,BenchmarkDigestLocal/4096/Secret,462.35,190.95,-58.7,1536.0,0.0,1.0,0.0,6,458.2,464.5,190.9,191.1
xxh3,native,BenchmarkDigestSum/Default/0/64,3.56,3.5795,0.548,0.0,0.0,0.0,0.0,6,3.558,3.561,3.578,3.582
xxh3,native,BenchmarkDigestSum/Default/0/128,4.036,4.136,2.478,0.0,0.0,0.0,0.0,6,4.033,4.038,4.134,4.139
xxh3,native,BenchmarkDigestSum/Default/16/64,4.116,4.123,0.17,0.0,0.0,0.0,0.0,6,4.112,4.118,4.121,4.31
xxh3,native,BenchmarkDigestSum/Default/16/128,5.668,5.699,0.547,0.0,0.0,0.0,0.0,6,5.664,5.67,5.697,5.701
xxh3,native,BenchmarkDigestSum/Default/64/64,6.433,6.4505,0.272,0.0,0.0,0.0,0.0,6,6.43,6.436,6.439,6.46
xxh3,native,BenchmarkDigestSum/Default/64/128,8.563,8.5985,0.415,0.0,0.0,0.0,0.0,6,8.561,8.566,8.593,8.601
xxh3,native,BenchmarkDigestSum/Default/128/64,9.9675,9.9915,0.241,0.0,0.0,0.0,0.0,6,9.96,9.975,9.988,10.06
xxh3,native,BenchmarkDigestSum/Default/128/128,12.47,12.51,0.321,0.0,0.0,0.0,0.0,6,12.46,12.47,12.5,12.51
xxh3,native,BenchmarkDigestSum/Default/240/64,16.75,16.68,-0.418,0.0,0.0,0.0,0.0,6,16.74,16.75,16.68,16.69
xxh3,native,BenchmarkDigestSum/Default/240/128,20.91,20.95,0.191,0.0,0.0,0.0,0.0,6,20.91,20.92,20.94,20.95
xxh3,native,BenchmarkDigestSum/Default/241/64,27.685,19.295,-30.305,0.0,0.0,0.0,0.0,6,27.68,27.7,19.28,19.31
xxh3,native,BenchmarkDigestSum/Default/241/128,32.975,24.14,-26.793,0.0,0.0,0.0,0.0,6,32.92,32.99,24.12,24.16
xxh3,native,BenchmarkDigestSum/Default/256/64,27.13,19.255,-29.027,0.0,0.0,0.0,0.0,6,27.12,27.14,19.25,19.26
xxh3,native,BenchmarkDigestSum/Default/256/128,32.43,24.12,-25.624,0.0,0.0,0.0,0.0,6,32.39,32.46,24.12,24.12
xxh3,native,BenchmarkDigestSum/Default/576/64,36.28,28.51,-21.417,0.0,0.0,0.0,0.0,6,36.27,36.31,28.49,28.53
xxh3,native,BenchmarkDigestSum/Default/576/128,41.535,33.745,-18.755,0.0,0.0,0.0,0.0,6,41.52,41.59,33.71,33.78
xxh3,native,BenchmarkDigestSum/Default/1024/64,51.87,43.245,-16.628,0.0,0.0,0.0,0.0,6,51.84,52.09,43.22,43.3
xxh3,native,BenchmarkDigestSum/Default/1024/128,56.865,48.365,-14.948,0.0,0.0,0.0,0.0,6,56.81,56.96,48.36,48.41
xxh3,native,BenchmarkDigestSum/Default/1025/64,13.67,13.745,0.549,0.0,0.0,0.0,0.0,6,13.67,13.68,13.74,13.85
xxh3,native,BenchmarkDigestSum/Default/1025/128,20.07,19.855,-1.071,0.0,0.0,0.0,0.0,6,20.06,20.08,19.85,19.87
xxh3,native,BenchmarkDigestSum/Default/1536/64,35.755,31.25,-12.6,0.0,0.0,0.0,0.0,6,35.74,35.76,31.24,31.29
xxh3,native,BenchmarkDigestSum/Default/1536/128,40.795,38.08,-6.655,0.0,0.0,0.0,0.0,6,40.78,40.81,38.06,38.14
xxh3,native,BenchmarkDigestSum/Default/4096/64,51.805,47.38,-8.542,0.0,0.0,0.0,0.0,6,51.79,51.95,47.29,47.42
xxh3,native,BenchmarkDigestSum/Default/4096/128,56.805,54.225,-4.542,0.0,0.0,0.0,0.0,6,56.78,56.83,54.16,54.31
xxh3,native,BenchmarkDigestSum/Seed/0/64,3.542,3.7005,4.475,0.0,0.0,0.0,0.0,6,3.542,3.543,3.698,3.702
xxh3,native,BenchmarkDigestSum/Seed/0/128,4.1425,4.3255,4.418,0.0,0.0,0.0,0.0,6,4.14,4.145,4.314,4.328
xxh3,native,BenchmarkDigestSum/Seed/16/64,4.146,4.255,2.629,0.0,0.0,0.0,0.0,6,4.143,4.147,4.253,4.256
xxh3,native,BenchmarkDigestSum/Seed/16/128,5.6635,5.7845,2.136,0.0,0.0,0.0,0.0,6,5.655,5.668,5.783,5.788
xxh3,native,BenchmarkDigestSum/Seed/64/64,7.273,7.361,1.21,0.0,0.0,0.0,0.0,6,7.269,7.283,7.358,7.371
xxh3,native,BenchmarkDigestSum/Seed/64/128,9.367,9.5345,1.788,0.0,0.0,0.0,0.0,6,9.365,9.368,9.532,9.539
xxh3,native,BenchmarkDigestSum/Seed/128/64,11.14,11.285,1.302,0.0,0.0,0.0,0.0,6,11.14,11.14,11.28,11.29
xxh3,native,BenchmarkDigestSum/Seed/128/128,13.87,13.95,0.577,0.0,0.0,0.0,0.0,6,13.86,13.87,13.95,14.71
xxh3,native,BenchmarkDigestSum/Seed/240/64,19.27,19.32,0.259,0.0,0.0,0.0,0.0,6,19.26,19.28,19.32,19.33
xxh3,native,BenchmarkDigestSum/Seed/240/128,23.815,23.855,0.168,0.0,0.0,0.0,0.0,6,23.81,23.82,23.85,23.87
xxh3,native,BenchmarkDigestSum/Seed/241/64,27.685,19.22,-30.576,0.0,0.0,0.0,0.0,6,27.68,27.71,19.2,19.23
xxh3,native,BenchmarkDigestSum/Seed/241/128,32.965,24.205,-26.574,0.0,0.0,0.0,0.0,6,32.92,32.98,24.19,24.23
xxh3,native,BenchmarkDigestSum/Seed/256/64,27.13,19.19,-29.266,0.0,0.0,0.0,0.0,6,27.12,27.15,19.18,19.2
xxh3,native,BenchmarkDigestSum/Seed/256/128,32.42,24.17,-25.447,0.0,0.0,0.0,0.0,6,32.39,32.44,24.16,24.37
xxh3,native,BenchmarkDigestSum/Seed/576/64,36.285,28.325,-21.937,0.0,0.0,0.0,0.0,6,36.24,36.3,28.32,28.34
xxh3,native,BenchmarkDigestSum/Seed/576/128,41.545,33.665,-18.967,0.0,0.0,0.0,0.0,6,41.5,41.58,33.62,33.86
xxh3,native,BenchmarkDigestSum/Seed/1024/64,51.865,43.34,-16.437,0.0,0.0,0.0,0.0,6,51.84,51.94,43.32,43.39
xxh3,native,BenchmarkDigestSum/Seed/1024/128,56.81,48.44,-14.733,0.0,0.0,0.0,0.0,6,56.74,56.87,48.44,48.61
xxh3,native,BenchmarkDigestSum/Seed/1025/64,13.675,13.745,0.512,0.0,0.0,0.0,0.0,6,13.67,13.72,13.73,13.75
xxh3,native,BenchmarkDigestSum/Seed/1025/128,20.065,19.86,-1.022,0.0,0.0,0.0,0.0,6,20.06,20.09,19.85,19.92
xxh3,native,BenchmarkDigestSum/Seed/1536/64,35.755,31.26,-12.572,0.0,0.0,0.0,0.0,6,35.74,35.79,31.23,31.28
xxh3,native,BenchmarkDigestSum/Seed/1536/128,40.8,38.095,-6.63,0.0,0.0,0.0,0.0,6,40.78,40.85,38.03,39.68
xxh3,native,BenchmarkDigestSum/Seed/4096/64,51.815,47.35,-8.617,0.0,0.0,0.0,0.0,6,51.8,51.91,47.32,47.38
xxh3,native,BenchmarkDigestSum/Seed/4096/128,56.815,54.215,-4.576,0.0,0.0,0.0,0.0,6,56.8,56.86,54.21,54.29
xxh3,native,BenchmarkDigestSum/Secret/0/64,3.541,3.5415,0.014,0.0,0.0,0.0,0.0,6,3.539,3.543,3.54,3.543
xxh3,native,BenchmarkDigestSum/Secret/0/128,4.037,4.164,3.146,0.0,0.0,0.0,0.0,6,4.037,4.04,4.163,4.165
xxh3,native,BenchmarkDigestSum/Secret/16/64,4.133,4.075,-1.403,0.0,0.0,0.0,0.0,6,4.131,4.134,4.072,4.083
xxh3,native,BenchmarkDigestSum/Secret/16/128,5.65,5.716,1.168,0.0,0.0,0.0,0.0,6,5.646,5.653,5.715,5.718
xxh3,native,BenchmarkDigestSum/Secret/64/64,6.465,6.4985,0.518,0.0,0.0,0.0,0.0,6,6.459,6.471,6.492,6.502
xxh3,native,BenchmarkDigestSum/Secret/64/128,8.4625,8.616,1.814,0.0,0.0,0.0,0.0,6,8.46,8.464,8.612,8.618
xxh3,native,BenchmarkDigestSum/Secret/128/64,10.075,10.1,0.248,0.0,0.0,0.0,0.0,6,10.07,10.1,10.09,10.1
